direction,amount_in,price_a_usd,price_b_usd
A_TO_B,1036162594423.3624,3295.43,95551.1
B_TO_A,9.919781775481658e-10,3295.0,95541.59
A_TO_B,1173171703344.041,3295.0,95541.59
A_TO_B,1349147458845.6475,3294.47,95518.94
A_TO_B,39572757335.02662,3294.86,95538.14
A_TO_B,1557455491272.7488,3294.86,95538.14
A_TO_B,1791073814963.661,3294.86,95539.43
A_TO_B,2059734887208.21,3295.69,95539.43
B_TO_A,3.8186224720512577e-10,3296.64,95562.58
A_TO_B,2340580747320.3105,3296.64,95562.58
B_TO_A,1.839704706602912e-10,3297.28,95562.58
A_TO_B,2674083223063.5625,3297.28,95562.58
A_TO_B,115750658620.98395,3296.8,95542.51
A_TO_B,3092558305316.2446,3296.8,95542.51
A_TO_B,168474627106.20462,3296.47,95542.51
A_TO_B,3581713245179.612,3296.47,95542.51
A_TO_B,4118970231956.5537,3295.47,95504.65
A_TO_B,4736815766750.037,3295.55,95491.71
B_TO_A,1.1670362314787994e-10,3295.48,95503.75
A_TO_B,5401735399475.7295,3295.48,95503.75
A_TO_B,6211995709397.088,3295.69,95515.58
B_TO_A,1.0837027296802194e-10,3295.2,95521.7
A_TO_B,7071098329226.38,3295.2,95521.7
A_TO_B,226293456696.3288,3293.97,95523.52
A_TO_B,8165707097114.786,3293.97,95523.52
B_TO_A,1.1630844093482372e-10,3294.3,95538.98
A_TO_B,9256308438236.73,3294.3,95538.98
A_TO_B,10644754703972.24,3292.99,95518.12
A_TO_B,12241467909568.076,3290.53,95402.9
A_TO_B,14077688096003.287,3292.43,95445.63
A_TO_B,16189341310403.78,3292.73,95477.93
B_TO_A,4.986406960311937e-11,3293.27,95471.97
A_TO_B,18391012364880.82,3293.27,95471.97
A_TO_B,21149664219612.94,3293.76,95471.98
A_TO_B,24322113852554.883,3294.3,95491.16
A_TO_B,27970430930438.113,3293.76,95491.16
A_TO_B,32165995570003.832,3291.59,95448.17
A_TO_B,36990894905504.41,3291.49,95445.78
B_TO_A,4.1046702805778334e-12,3291.3,95445.78
A_TO_B,42441117460411.5,3291.3,95445.78
B_TO_A,2.6909420522157954e-11,3289.54,95424.01
A_TO_B,47970617029027.07,3289.54,95424.01
A_TO_B,7164047959950.973,3286.13,95342.09
A_TO_B,56240816777373.77,3286.13,95342.09
B_TO_A,1.8505127163342122e-11,3287.81,95383.94
A_TO_B,63665053437657.766,3287.81,95383.94
A_TO_B,73214811453306.42,3287.73,95360.21
B_TO_A,8.139048848638293e-12,3287.73,95370.96
A_TO_B,83437718574631.58,3287.73,95370.96
A_TO_B,2972147448017.0044,3290.23,95427.79
A_TO_B,96399198478028.86,3290.23,95427.79
A_TO_B,110859078249733.2,3290.66,95392.42
A_TO_B,12980191948559.18,3288.69,95363.31
A_TO_B,129434968779477.05,3288.69,95363.31
A_TO_B,148850214096398.6,3288.58,95361.72
