direction,amount_in,price_a_usd,price_b_usd
A_TO_B,1000.0,1321.13,40524.99
A_TO_B,1000.0,1320.99,40526.57
A_TO_B,1000.0,1322.36,40548.0
A_TO_B,1000.0,1323.24,40523.25
A_TO_B,1000.0,1323.24,40523.25
A_TO_B,1000.0,1323.81,40539.32
A_TO_B,1000.0,1323.39,40532.88
A_TO_B,1000.0,1323.39,40532.88
A_TO_B,1000.0,1322.48,40505.13
A_TO_B,1000.0,1322.48,40505.13
A_TO_B,1000.0,1319.75,40467.93
A_TO_B,1000.0,1324.54,40564.99
A_TO_B,1000.0,1324.54,40564.99
B_TO_A,1000.0,1324.8,40537.91
A_TO_B,1000.0,1324.8,40537.91
A_TO_B,1000.0,1326.34,40587.27
A_TO_B,1000.0,1323.57,40557.43
A_TO_B,1000.0,1323.11,40571.24
A_TO_B,1000.0,1323.7,40568.65
A_TO_B,1000.0,1323.06,40573.26
A_TO_B,1000.0,1321.39,40548.27
A_TO_B,1000.0,1321.78,40551.74
A_TO_B,1000.0,1321.97,40531.69
A_TO_B,1000.0,1320.73,40508.99
A_TO_B,1000.0,1320.54,40511.23
A_TO_B,1000.0,1320.83,40511.64
B_TO_A,1000.0,1316.63,40455.55
A_TO_B,1000.0,1316.63,40455.55
A_TO_B,1000.0,1317.46,40397.56
A_TO_B,1000.0,1317.79,40382.68
B_TO_A,1000.0,1319.11,40402.08
A_TO_B,1000.0,1319.11,40402.08
B_TO_A,1000.0,1316.85,40356.65
A_TO_B,1000.0,1316.85,40356.65
A_TO_B,1000.0,1318.17,40281.01
A_TO_B,1000.0,1312.7,40182.21
A_TO_B,1000.0,1314.96,40269.98
A_TO_B,1000.0,1317.2,40302.14
A_TO_B,1000.0,1317.2,40302.14
A_TO_B,1000.0,1317.11,40281.62
A_TO_B,1000.0,1319.01,40307.28
A_TO_B,1000.0,1319.01,40307.28
A_TO_B,1000.0,1320.0,40354.64
A_TO_B,1000.0,1320.65,40331.53
A_TO_B,1000.0,1323.0,40400.0
A_TO_B,1000.0,1323.0,40400.0
A_TO_B,1000.0,1322.99,40452.07
B_TO_A,1000.0,1321.43,40391.44
A_TO_B,1000.0,1321.43,40391.44
A_TO_B,1000.0,1320.8,40380.8
A_TO_B,1000.0,1320.8,40380.8
A_TO_B,1000.0,1318.29,40302.58
A_TO_B,1000.0,1316.04,40161.98
A_TO_B,1000.0,1316.04,40161.98
A_TO_B,1000.0,1318.12,40191.25
A_TO_B,1000.0,1318.12,40191.25
A_TO_B,1000.0,1318.72,40248.26
A_TO_B,1000.0,1321.62,40316.44
